Wavelength (nm),Intensity
394.27,1016.0000
394.56,997.2000
394.85,1010.8000
395.14,996.6000
395.44,1011.8000
395.73,1015.8000
396.02,987.2000
396.31,999.0000
396.61,1004.2000
396.90,995.2000
397.19,1009.2000
397.48,1002.6000
397.77,993.6000
398.06,995.2000
398.36,1010.2000
398.65,991.2000
398.94,995.0000
399.23,994.2000
399.52,995.4000
399.82,1000.8000
400.11,995.0000
400.40,1010.2000
400.69,981.6000
400.98,986.0000
401.27,1021.8000
401.57,974.4000
401.86,1002.4000
402.15,997.6000
402.44,997.6000
402.73,996.2000
403.02,1020.2000
403.32,984.6000
403.61,1006.4000
403.90,999.0000
404.19,1001.4000
404.48,1010.6000
404.77,1006.2000
405.06,1015.4000
405.36,1012.0000
405.65,1001.8000
405.94,978.0000
406.23,1012.0000
406.52,1030.6000
406.81,1017.8000
407.10,1002.6000
407.40,1005.6000
407.69,997.4000
407.98,1007.4000
408.27,994.6000
408.56,985.6000
408.85,1031.4000
409.14,992.8000
409.43,1004.4000
409.72,987.2000
410.02,1033.2000
410.31,1009.4000
410.60,999.4000
410.89,1018.8000
411.18,993.4000
411.47,994.2000
411.76,1004.4000
412.05,1001.8000
412.34,1001.2000
412.63,998.2000
412.93,1038.2000
413.22,1018.0000
413.51,987.2000
413.80,1010.8000
414.09,990.2000
414.38,989.8000
414.67,1008.4000
414.96,978.8000
415.25,1034.2000
415.54,1010.8000
415.83,981.8000
416.12,980.8000
416.41,974.6000
416.70,1012.8000
417.00,1008.8000
417.29,1003.0000
417.58,1002.6000
417.87,998.6000
418.16,997.8000
418.45,1002.2000
418.74,988.0000
419.03,979.2000
419.32,1019.0000
419.61,1010.2000
419.90,1009.2000
420.19,1005.2000
420.48,1001.2000
420.77,978.8000
421.06,988.2000
421.35,995.6000
421.64,988.6000
421.93,979.8000
422.22,980.4000
422.51,1025.2000
422.80,998.4000
423.09,999.2000
423.38,1026.2000
423.67,1008.6000
423.96,983.6000
424.25,994.0000
424.54,998.2000
424.83,973.0000
425.12,997.2000
425.41,996.4000
425.70,1048.2000
425.99,1010.8000
426.28,1007.8000
426.57,1000.4000
426.86,996.4000
427.15,1005.0000
427.44,1020.8000
427.73,1015.8000
428.02,1000.0000
428.31,1006.2000
428.60,1020.6000
428.89,1014.0000
429.18,1004.0000
429.47,1013.4000
429.76,982.8000
430.05,997.2000
430.34,1015.8000
430.63,991.2000
430.92,1025.0000
431.21,1001.2000
431.50,989.8000
431.79,982.0000
432.08,989.0000
432.37,997.4000
432.66,1000.4000
432.94,986.8000
433.23,993.0000
433.52,1007.4000
433.81,997.4000
