Wavelength (nm),Intensity
394.27,1020.4000
394.56,999.0000
394.85,1019.2000
395.14,999.4000
395.44,1003.6000
395.73,1005.2000
396.02,989.0000
396.31,1002.2000
396.61,1012.2000
396.90,997.4000
397.19,1006.6000
397.48,1006.6000
397.77,992.8000
398.06,1010.6000
398.36,1004.8000
398.65,996.4000
398.94,990.8000
399.23,985.0000
399.52,985.0000
399.82,1004.8000
400.11,995.4000
400.40,999.6000
400.69,991.0000
400.98,984.6000
401.27,1023.0000
401.57,972.0000
401.86,1008.4000
402.15,987.4000
402.44,998.6000
402.73,992.0000
403.02,1013.6000
403.32,1000.2000
403.61,985.8000
403.90,986.2000
404.19,1008.4000
404.48,1008.6000
404.77,1010.0000
405.06,1011.8000
405.36,1017.6000
405.65,998.8000
405.94,977.2000
406.23,1015.0000
406.52,1015.0000
406.81,1025.6000
407.10,994.0000
407.40,1007.4000
407.69,1001.6000
407.98,1011.6000
408.27,991.6000
408.56,985.8000
408.85,1035.2000
409.14,1001.0000
409.43,1006.0000
409.72,992.6000
410.02,1034.4000
410.31,996.8000
410.60,1005.2000
410.89,1019.0000
411.18,1001.2000
411.47,1000.0000
411.76,1000.8000
412.05,1003.8000
412.34,1006.0000
412.63,996.4000
412.93,1042.8000
413.22,1022.2000
413.51,992.8000
413.80,1011.4000
414.09,981.8000
414.38,985.4000
414.67,1020.0000
414.96,982.8000
415.25,1037.8000
415.54,1011.2000
415.83,974.4000
416.12,985.6000
416.41,973.6000
416.70,1012.2000
417.00,1010.0000
417.29,1001.2000
417.58,997.8000
417.87,1001.0000
418.16,1004.0000
418.45,994.0000
418.74,992.2000
419.03,986.2000
419.32,1031.6000
419.61,1002.8000
419.90,1021.8000
420.19,1016.8000
420.48,1001.8000
420.77,984.4000
421.06,989.2000
421.35,993.6000
421.64,993.8000
421.93,980.6000
422.22,1001.8000
422.51,1020.4000
422.80,1001.4000
423.09,989.2000
423.38,1030.6000
423.67,1005.0000
423.96,994.2000
424.25,989.6000
424.54,985.4000
424.83,972.0000
425.12,994.2000
425.41,990.8000
425.70,1055.4000
425.99,1006.0000
426.28,1017.0000
426.57,1003.4000
426.86,994.4000
427.15,1008.0000
427.44,1025.8000
427.73,1013.2000
428.02,998.4000
428.31,1013.2000
428.60,1018.0000
428.89,1000.0000
429.18,1002.6000
429.47,1012.0000
429.76,992.8000
430.05,999.4000
430.34,1018.0000
430.63,1000.4000
430.92,1022.6000
431.21,1014.0000
431.50,996.8000
431.79,996.8000
432.08,986.0000
432.37,989.6000
432.66,985.2000
432.94,989.8000
433.23,1016.6000
433.52,1014.4000
433.81,1000.6000
434.10,1052.2000
434.39,1001.4000
434.68,1018.4000
434.97,981.4000
435.26,981.8000
435.55,1007.6000
435.84,1000.6000
436.13,991.8000
436.42,1000.2000
436.71,997.4000
436.99,981.8000
437.28,996.2000
437.57,1006.2000
437.86,988.2000
438.15,1005.2000
438.44,997.0000
438.73,1010.2000
439.02,1010.6000
439.31,1022.8000
439.60,986.8000
439.88,998.6000
440.17,998.2000
440.46,1005.0000
440.75,980.0000
441.04,976.8000
441.33,1022.6000
441.62,994.6000
441.91,988.6000
442.20,989.4000
442.48,990.6000
442.77,990.8000
443.06,999.0000
443.35,979.4000
443.64,998.2000
443.93,982.2000
444.22,994.2000
444.50,1012.0000
444.79,1001.0000
445.08,1016.6000
445.37,1001.2000
445.66,988.0000
445.95,975.6000
446.24,981.4000
446.52,987.2000
446.81,1021.2000
447.10,981.2000
447.39,1004.0000
447.68,990.2000
447.97,967.2000
448.25,1030.4000
448.54,1017.8000
448.83,1013.4000
449.12,1036.4000
449.41,992.6000
449.69,1009.0000
449.98,992.4000
450.27,984.2000
450.56,992.2000
450.85,1003.2000
451.14,976.6000
451.42,999.4000
451.71,1005.8000
452.00,998.0000
452.29,1002.8000
452.58,1000.4000
452.86,998.6000
453.15,996.2000
453.44,996.4000
453.73,1012.2000
454.01,988.0000
454.30,1050.6000
454.59,985.4000
454.88,978.6000
455.17,982.4000
455.45,990.6000
455.74,1021.0000
456.03,986.6000
456.32,991.0000
456.60,997.0000
456.89,1003.4000
457.18,992.6000
457.47,977.8000
457.76,997.8000
458.04,994.0000
458.33,994.4000
458.62,992.8000
458.91,979.2000
459.19,971.2000
