Wavelength (nm),Intensity
394.27,2080.5000
394.56,1996.5000
394.85,2107.5000
395.14,2052.5000
395.44,2075.5000
395.73,2107.0000
396.02,1909.0000
396.31,2037.5000
396.61,2124.0000
396.90,1955.5000
397.19,2154.5000
397.48,2167.5000
397.77,2002.5000
398.06,2139.5000
398.36,2161.5000
398.65,2063.0000
398.94,2048.5000
399.23,2001.0000
399.52,2064.5000
399.82,2133.5000
400.11,2082.5000
400.40,2197.0000
400.69,2031.5000
400.98,2072.0000
401.27,2224.5000
401.57,1912.0000
401.86,2137.0000
402.15,2050.5000
402.44,2103.5000
402.73,2101.0000
403.02,2200.0000
403.32,2024.5000
403.61,2060.0000
403.90,2056.5000
404.19,2173.0000
404.48,2197.0000
404.77,2146.0000
405.06,2171.5000
405.36,2253.0000
405.65,2146.5000
405.94,1903.5000
406.23,2219.0000
406.52,2267.5000
406.81,2270.5000
407.10,2192.0000
407.40,2137.5000
407.69,2112.5000
407.98,2179.5000
408.27,2086.0000
408.56,1967.0000
408.85,2347.5000
409.14,2025.0000
409.43,2170.5000
409.72,2004.0000
410.02,2414.0000
410.31,2112.5000
410.60,2161.5000
410.89,2230.0000
411.18,2140.5000
411.47,2088.5000
411.76,2145.0000
412.05,2144.5000
412.34,2123.0000
412.63,2071.0000
412.93,2489.0000
413.22,2289.0000
413.51,2080.0000
413.80,2210.0000
414.09,2039.0000
414.38,2095.5000
414.67,2223.5000
414.96,2044.5000
415.25,2457.0000
415.54,2248.0000
415.83,2028.5000
416.12,2032.5000
416.41,2028.0000
416.70,2295.0000
417.00,2304.5000
417.29,2217.0000
417.58,2235.0000
417.87,2197.0000
418.16,2322.0000
418.45,2173.0000
418.74,2132.5000
419.03,2147.0000
419.32,2451.5000
419.61,2281.0000
419.90,2364.0000
420.19,2314.0000
420.48,2247.0000
420.77,2080.5000
421.06,2147.5000
421.35,2248.5000
421.64,2227.5000
421.93,2094.5000
422.22,2188.0000
422.51,2390.5000
422.80,2265.0000
423.09,2174.5000
423.38,2501.0000
423.67,2290.0000
423.96,2225.0000
424.25,2179.5000
424.54,2214.0000
424.83,2045.0000
425.12,2201.5000
425.41,2298.0000
425.70,2757.5000
425.99,2357.5000
426.28,2340.0000
426.57,2320.5000
426.86,2277.0000
427.15,2391.5000
427.44,2542.5000
427.73,2519.5000
428.02,2332.0000
428.31,2449.0000
428.60,2542.5000
428.89,2447.0000
429.18,2413.5000
429.47,2452.5000
429.76,2306.5000
430.05,2324.0000
430.34,2554.5000
430.63,2413.5000
430.92,2655.0000
431.21,2583.0000
431.50,2386.0000
431.79,2445.0000
432.08,2415.5000
432.37,2433.0000
432.66,2549.0000
432.94,2546.0000
433.23,2627.5000
433.52,2692.5000
433.81,2657.0000
434.10,3093.5000
434.39,2682.5000
434.68,2891.5000
434.97,2572.0000
435.26,2668.0000
435.55,2814.5000
435.84,2808.0000
436.13,2803.5000
436.42,2925.5000
436.71,2796.0000
436.99,2805.0000
437.28,2894.0000
437.57,2978.5000
437.86,2859.5000
438.15,3045.0000
438.44,2915.5000
438.73,3098.0000
439.02,3227.0000
439.31,3342.5000
439.60,3077.5000
439.88,3203.5000
440.17,3304.0000
440.46,3409.0000
440.75,3213.0000
441.04,3245.5000
441.33,3608.5000
441.62,3562.5000
441.91,3468.0000
442.20,3595.0000
442.48,3693.5000
442.77,3658.0000
443.06,3849.0000
443.35,3736.5000
443.64,3997.5000
443.93,3918.5000
444.22,4064.5000
444.50,4294.0000
444.79,4293.0000
445.08,4377.5000
445.37,4427.0000
445.66,4386.0000
445.95,4425.5000
446.24,4549.5000
446.52,4745.5000
446.81,5085.5000
447.10,4747.5000
447.39,5018.5000
447.68,4978.5000
447.97,4946.5000
448.25,5330.5000
448.54,5391.5000
448.83,5420.0000
449.12,5631.0000
449.41,5415.0000
449.69,5506.0000
449.98,5506.5000
450.27,5580.5000
450.56,5520.0000
450.85,5630.5000
451.14,5493.5000
451.42,5572.0000
451.71,5636.0000
452.00,5610.0000
452.29,5671.0000
452.58,5554.5000
452.86,5536.5000
453.15,5526.0000
453.44,5399.0000
453.73,5467.0000
454.01,5328.0000
454.30,5760.0000
454.59,5159.0000
454.88,5141.0000
455.17,4987.5000
455.45,5062.5000
455.74,5256.5000
456.03,4985.0000
456.32,4840.5000
456.60,4797.5000
456.89,4793.0000
457.18,4583.0000
457.47,4533.0000
