Wavelength (nm),Intensity
394.27,2100.5000
394.56,2003.0000
394.85,2110.5000
395.14,2038.0000
395.44,2068.0000
395.73,2067.0000
396.02,1917.5000
396.31,2012.0000
396.61,2099.0000
396.90,1991.0000
397.19,2154.0000
397.48,2186.5000
397.77,2018.5000
398.06,2100.5000
398.36,2127.0000
398.65,2083.0000
398.94,2048.0000
399.23,1976.0000
399.52,2063.0000
399.82,2115.5000
400.11,2042.0000
400.40,2172.5000
400.69,2007.5000
400.98,2049.5000
401.27,2182.5000
401.57,1886.5000
401.86,2128.0000
402.15,2036.5000
402.44,2071.5000
402.73,2065.0000
403.02,2177.0000
403.32,2015.5000
403.61,2083.0000
403.90,2031.5000
404.19,2148.5000
404.48,2196.5000
404.77,2159.5000
405.06,2186.5000
405.36,2247.5000
405.65,2128.0000
405.94,1871.0000
406.23,2188.5000
406.52,2231.0000
406.81,2263.5000
407.10,2154.0000
407.40,2150.5000
407.69,2082.0000
407.98,2143.0000
408.27,2070.5000
408.56,1989.0000
408.85,2372.0000
409.14,2032.0000
409.43,2201.5000
409.72,2036.0000
410.02,2415.0000
410.31,2086.5000
410.60,2125.0000
410.89,2251.5000
411.18,2135.0000
411.47,2107.0000
411.76,2119.0000
412.05,2141.5000
412.34,2159.5000
412.63,2069.0000
412.93,2510.0000
413.22,2318.5000
413.51,2076.5000
413.80,2220.5000
414.09,2039.5000
414.38,2096.0000
414.67,2235.0000
414.96,2020.0000
415.25,2452.0000
415.54,2210.5000
415.83,2015.5000
416.12,2027.0000
416.41,1990.0000
416.70,2259.0000
417.00,2254.0000
417.29,2177.5000
417.58,2200.5000
417.87,2153.0000
418.16,2284.5000
418.45,2139.5000
418.74,2123.5000
419.03,2109.0000
419.32,2403.5000
419.61,2245.0000
419.90,2311.5000
420.19,2272.5000
420.48,2214.0000
420.77,2043.5000
421.06,2146.5000
421.35,2225.5000
421.64,2221.0000
421.93,2074.5000
422.22,2173.5000
422.51,2416.0000
422.80,2268.5000
423.09,2168.5000
423.38,2478.0000
423.67,2259.5000
423.96,2207.5000
424.25,2210.0000
424.54,2231.0000
424.83,2030.0000
425.12,2226.5000
425.41,2302.5000
425.70,2772.0000
425.99,2346.5000
426.28,2345.5000
426.57,2353.0000
426.86,2304.0000
427.15,2404.0000
427.44,2550.0000
427.73,2490.5000
428.02,2362.5000
428.31,2488.0000
428.60,2577.0000
428.89,2532.0000
429.18,2496.0000
429.47,2492.0000
429.76,2341.0000
430.05,2424.0000
430.34,2597.0000
430.63,2453.0000
430.92,2658.5000
431.21,2628.5000
431.50,2466.5000
431.79,2555.5000
432.08,2547.0000
432.37,2551.0000
432.66,2656.0000
432.94,2618.0000
433.23,2674.5000
433.52,2787.5000
433.81,2794.0000
434.10,3216.5000
434.39,2794.5000
434.68,3013.0000
434.97,2732.5000
435.26,2802.5000
435.55,2983.0000
435.84,2956.0000
436.13,2974.0000
436.42,3091.0000
436.71,3006.0000
436.99,2971.0000
437.28,3107.5000
437.57,3205.5000
437.86,3116.5000
438.15,3302.0000
438.44,3275.5000
438.73,3376.5000
439.02,3532.5000
439.31,3616.0000
439.60,3456.5000
439.88,3572.5000
440.17,3637.0000
440.46,3826.0000
440.75,3634.0000
441.04,3706.0000
441.33,4142.0000
441.62,4077.0000
441.91,3983.0000
442.20,4179.5000
442.48,4323.5000
442.77,4331.0000
443.06,4527.0000
443.35,4450.0000
443.64,4756.5000
443.93,4735.5000
444.22,4931.5000
444.50,5210.5000
444.79,5269.0000
445.08,5423.0000
445.37,5573.5000
445.66,5571.5000
445.95,5675.0000
446.24,5817.0000
446.52,6040.0000
446.81,6514.5000
447.10,6293.5000
447.39,6566.0000
447.68,6615.0000
447.97,6722.0000
448.25,7172.0000
448.54,7311.5000
448.83,7391.5000
449.12,7665.0000
449.41,7532.5000
449.69,7679.5000
449.98,7689.5000
450.27,7830.5000
450.56,7829.5000
450.85,8052.0000
451.14,7879.5000
451.42,8085.5000
451.71,8184.0000
452.00,8143.5000
452.29,8095.0000
452.58,8069.5000
452.86,8111.5000
453.15,8100.5000
453.44,8029.5000
453.73,8051.0000
454.01,7882.5000
454.30,8312.5000
454.59,7579.0000
454.88,7573.5000
455.17,7416.5000
455.45,7436.0000
455.74,7590.0000
456.03,7276.0000
456.32,7108.5000
456.60,6996.0000
456.89,6912.0000
457.18,6725.5000
457.47,6589.0000
457.76,6558.0000
458.04,6447.0000
458.33,6395.0000
458.62,6251.5000
458.91,6014.5000
459.19,6010.0000
459.48,5936.5000
459.77,5901.0000
460.06,5934.5000
460.34,5915.0000
460.63,5808.0000
460.92,5763.0000
461.20,5692.0000
461.49,5695.0000
461.78,5528.0000
462.07,5504.5000
462.35,5606.5000
462.64,5574.5000
462.93,5617.0000
463.22,5659.0000
463.50,5570.0000
463.79,5506.0000
464.08,5569.0000
464.36,5490.5000
464.65,5409.0000
464.94,5345.5000
465.22,5447.5000
465.51,5386.0000
465.80,5556.0000
466.09,5336.5000
466.37,5498.5000
466.66,5472.5000
466.95,5234.0000
467.23,5163.5000
467.52,5248.0000
467.81,5438.0000
468.09,5036.0000
468.38,5165.5000
468.67,5286.5000
468.95,5012.5000
469.24,4885.5000
469.53,5008.5000
469.81,4949.5000
470.10,4856.0000
470.39,4803.0000
470.67,4663.5000
470.96,4790.0000
471.25,4611.5000
471.53,4797.0000
471.82,4636.0000
472.11,4554.5000
472.39,4425.0000
472.68,4472.5000
472.97,4327.5000
473.25,4389.5000
473.54,4334.0000
473.82,4331.5000
474.11,4379.0000
474.40,4320.5000
474.68,4534.5000
474.97,4449.5000
475.26,4257.5000
475.54,4086.0000
475.83,4185.0000
476.11,4115.0000
476.40,4311.5000
476.69,4206.5000
476.97,4249.0000
477.26,4137.0000
477.55,4301.5000
477.83,3956.5000
478.12,4137.0000
478.40,4116.0000
478.69,4061.0000
478.98,4063.5000
479.26,3971.0000
479.55,4168.5000
479.83,4057.5000
480.12,4131.0000
480.40,4201.5000
480.69,4027.5000
480.98,4128.0000
481.26,4343.5000
481.55,4105.0000
481.83,4232.5000
482.12,4163.5000
482.41,4184.5000
482.69,4071.5000
482.98,4248.5000
483.26,4413.0000
483.55,4149.5000
483.83,4237.0000
484.12,4270.5000
484.40,4255.0000
484.69,4096.5000
484.98,4344.5000
485.26,4238.5000
485.55,4272.0000
485.83,4060.5000
486.12,4347.0000
486.40,4355.0000
486.69,4305.0000
486.97,4346.0000
487.26,4414.0000
487.54,4394.0000
487.83,4412.5000
488.11,4397.5000
488.40,4705.0000
488.68,4667.5000
488.97,4494.0000
489.26,4614.0000
489.54,4647.5000
489.83,4592.0000
490.11,4593.5000
490.40,4717.5000
490.68,4694.5000
490.97,4557.5000
491.25,4703.0000
491.54,4663.5000
491.82,4894.5000
492.11,4823.0000
492.39,5016.5000
492.68,4806.0000
492.96,5085.5000
493.24,4864.0000
493.53,4874.0000
493.81,5204.0000
494.10,4884.5000
494.38,4904.5000
494.67,5082.0000
494.95,5324.0000
495.24,5066.5000
495.52,5364.0000
495.81,5357.0000
496.09,5397.0000
496.38,5180.5000
496.66,5564.0000
496.95,5508.5000
497.23,5426.0000
497.51,5371.5000
497.80,5523.0000
498.08,5498.0000
498.37,5547.0000
498.65,5699.0000
498.94,5961.5000
499.22,5683.5000
499.51,5798.5000
499.79,5851.0000
500.07,5768.5000
500.36,6082.5000
500.64,6126.5000
500.93,5969.0000
501.21,6189.5000
501.50,6045.0000
501.78,6197.0000
502.06,6032.0000
502.35,6155.5000
502.63,6117.5000
502.92,6382.0000
503.20,6509.5000
503.48,6612.5000
503.77,6457.5000
504.05,6457.5000
504.34,6411.0000
504.62,6673.5000
504.90,6667.0000
505.19,6880.5000
505.47,6625.5000
505.76,6669.5000
506.04,6684.5000
506.32,6926.0000
506.61,6791.0000
506.89,6971.5000
507.17,6885.5000
507.46,6917.0000
507.74,7140.5000
508.03,7035.0000
508.31,7094.5000
508.59,6935.5000
508.88,7088.5000
509.16,7521.0000
509.44,7304.0000
509.73,7257.0000
510.01,7281.5000
510.29,7377.0000
510.58,7245.5000
510.86,7376.0000
511.14,7583.5000
511.43,7491.5000
511.71,7543.0000
511.99,7581.5000
512.28,7564.0000
512.56,7432.5000
512.84,7519.5000
513.13,7478.0000
513.41,7630.5000
513.69,7719.0000
513.98,7543.0000
514.26,7789.5000
514.54,7751.5000
514.83,7746.0000
515.11,7900.5000
515.39,7969.5000
515.68,8023.5000
515.96,7903.5000
516.24,7808.5000
516.53,7912.0000
516.81,8188.5000
517.09,7905.5000
517.37,7947.5000
517.66,8057.0000
517.94,8026.0000
518.22,8097.0000
518.51,7993.5000
518.79,8170.5000
519.07,8069.0000
519.35,8159.0000
519.64,8272.0000
519.92,8316.5000
520.20,8330.0000
520.48,8400.0000
520.77,8318.5000
521.05,8210.0000
521.33,8206.0000
521.62,8227.0000
521.90,8460.5000
522.18,8357.0000
522.46,8430.0000
522.75,8379.5000
523.03,8551.0000
523.31,8388.0000
523.59,8697.5000
523.88,8610.5000
524.16,8529.5000
524.44,8737.5000
524.72,8743.5000
525.00,8748.5000
525.29,8657.0000
525.57,8618.5000
525.85,8642.5000
526.13,8574.5000
526.42,8424.0000
526.70,8759.0000
526.98,8592.0000
527.26,8699.0000
527.54,8681.0000
527.83,8726.5000
528.11,8702.5000
528.39,8888.0000
528.67,8878.0000
528.95,8793.0000
529.24,8685.0000
529.52,8947.0000
529.80,8929.0000
530.08,8915.5000
530.36,8816.5000
530.65,9078.0000
530.93,8862.0000
531.21,8915.0000
531.49,8875.5000
531.77,8981.0000
532.05,8901.0000
532.34,8968.5000
532.62,8917.5000
532.90,9073.5000
533.18,9178.5000
533.46,9076.0000
533.74,9023.0000
534.03,9032.5000
534.31,9058.5000
534.59,9070.0000
534.87,9213.5000
535.15,9145.5000
535.43,9204.0000
535.71,9150.0000
536.00,9197.0000
536.28,9073.5000
536.56,9206.5000
536.84,9268.0000
537.12,9146.5000
537.40,9167.5000
537.68,9287.5000
537.97,9378.0000
538.25,9215.0000
538.53,9417.0000
538.81,9456.5000
539.09,9199.5000
539.37,9444.0000
539.65,9326.5000
539.93,9364.5000
540.21,9366.0000
540.50,9237.5000
540.78,9476.0000
541.06,9575.0000
541.34,9529.0000
541.62,9595.0000
541.90,9616.5000
542.18,9500.5000
542.46,9731.5000
542.74,9685.5000
543.02,9532.0000
543.30,9672.0000
543.58,9681.0000
543.87,9759.5000
544.15,9636.5000
544.43,9890.5000
544.71,9784.5000
544.99,9838.5000
545.27,9756.5000
545.55,9720.0000
545.83,9796.0000
546.11,9937.0000
546.39,10003.0000
546.67,9991.0000
546.95,9899.5000
547.23,9868.0000
547.51,9916.5000
547.79,10132.0000
548.07,10097.5000
548.35,10047.5000
548.63,9977.5000
548.91,10298.0000
549.20,10101.5000
549.48,10540.5000
549.76,10188.5000
550.04,10224.5000
550.32,10367.5000
550.60,10211.5000
550.88,10278.0000
551.16,10542.0000
551.44,10482.0000
551.72,10311.5000
552.00,10456.5000
552.28,10503.5000
552.56,10738.0000
552.84,10730.0000
553.12,10660.5000
553.40,10588.0000
553.68,10695.5000
553.96,10654.5000
554.24,10696.5000
554.52,10818.0000
554.80,10748.5000
555.08,10846.5000
555.36,10666.0000
555.64,11008.0000
555.92,10963.5000
556.19,10923.0000
556.47,10936.0000
556.75,11056.0000
557.03,11003.5000
557.31,11177.5000
557.59,11165.5000
557.87,11018.5000
558.15,11184.5000
558.43,11041.5000
558.71,11250.5000
558.99,11249.5000
559.27,11308.0000
559.55,11149.0000
559.83,11196.5000
560.11,11342.0000
560.39,11305.5000
560.67,11442.5000
560.95,11589.0000
561.23,11429.0000
561.50,11481.0000
561.78,11433.5000
562.06,11480.0000
562.34,11552.0000
562.62,11601.0000
562.90,11832.5000
563.18,11734.5000
563.46,11638.5000
563.74,11774.5000
564.02,12032.0000
564.30,11768.0000
564.57,11856.0000
564.85,11769.0000
565.13,12119.0000
565.41,11846.5000
565.69,12000.5000
565.97,12042.0000
566.25,11735.0000
566.53,11921.5000
566.81,12203.0000
567.08,12202.0000
567.36,12091.5000
567.64,12067.5000
567.92,12233.5000
568.20,12036.0000
568.48,12170.0000
568.76,12343.5000
569.04,12247.5000
569.31,12381.5000
569.59,12408.5000
569.87,12326.0000
570.15,12267.5000
570.43,12351.5000
570.71,12382.5000
570.99,12348.0000
571.26,12434.0000
571.54,12544.5000
571.82,12440.5000
572.10,12434.0000
572.38,12453.5000
572.66,12579.0000
572.93,12526.0000
573.21,12602.0000
573.49,12581.0000
573.77,12735.5000
574.05,12467.5000
574.32,12674.5000
574.60,12701.5000
574.88,12733.0000
575.16,12980.5000
575.44,12741.5000
575.71,12783.0000
575.99,13293.5000
576.27,12971.0000
576.55,12740.0000
576.83,13038.5000
577.10,12982.5000
577.38,13101.5000
577.66,12806.0000
577.94,13071.5000
578.22,12911.0000
578.49,13144.0000
578.77,13079.5000
579.05,13283.0000
579.33,13312.5000
579.60,13377.0000
579.88,13326.5000
580.16,13552.5000
580.44,13546.5000
580.72,13456.0000
580.99,13481.5000
581.27,13499.0000
581.55,13704.0000
581.83,13783.0000
582.10,13899.0000
582.38,13845.5000
582.66,14026.0000
582.94,13966.0000
583.21,14162.5000
583.49,14232.5000
583.77,14166.5000
584.04,14377.0000
584.32,14461.5000
584.60,14409.0000
584.88,14480.0000
585.15,14713.0000
585.43,14573.5000
585.71,14658.5000
585.98,14679.5000
586.26,14807.0000
586.54,14907.5000
586.82,15066.5000
587.09,14932.0000
587.37,15266.5000
587.65,15129.0000
587.92,15336.5000
588.20,15515.0000
588.48,15779.5000
588.75,15516.0000
589.03,15490.0000
589.31,15729.0000
589.59,15578.5000
589.86,16001.5000
590.14,15809.5000
590.42,16132.0000
590.69,16093.5000
590.97,16006.0000
591.25,16108.5000
591.52,16236.5000
591.80,16474.5000
592.08,16440.5000
592.35,16451.5000
592.63,16462.0000
592.91,16676.0000
593.18,16592.0000
593.46,16699.0000
593.73,16718.5000
594.01,16897.5000
594.29,16951.5000
594.56,16779.5000
594.84,16979.5000
595.12,17086.0000
595.39,16992.5000
595.67,16947.5000
595.95,17063.5000
596.22,17134.5000
596.50,17039.5000
596.77,17250.0000
597.05,17450.5000
597.33,17493.5000
597.60,17317.0000
597.88,17493.5000
598.15,17577.0000
598.43,17493.0000
598.71,17461.5000
598.98,18175.5000
599.26,17936.5000
599.53,17562.0000
599.81,17959.5000
600.09,17782.5000
600.36,17760.5000
600.64,17984.0000
600.91,17797.0000
601.19,17838.5000
601.47,17977.0000
601.74,17966.0000
602.02,18002.5000
602.29,17988.0000
602.57,18251.0000
602.84,18137.5000
603.12,18066.0000
603.40,18193.0000
603.67,18278.0000
603.95,18377.0000
604.22,18531.5000
604.50,18367.0000
604.77,18367.0000
605.05,18239.5000
605.32,18337.5000
605.60,18537.5000
605.87,18222.0000
606.15,18370.0000
606.42,18426.5000
606.70,18432.5000
606.98,18538.5000
607.25,18498.0000
607.53,18538.0000
607.80,18554.0000
608.08,18605.0000
608.35,18710.0000
608.63,18664.0000
608.90,18801.0000
609.18,18613.0000
609.45,18645.0000
609.73,18818.5000
610.00,18854.0000
610.28,18631.5000
610.55,18576.0000
610.83,18499.0000
611.10,18599.0000
611.38,18679.5000
611.65,18761.5000
611.93,18575.5000
612.20,18723.5000
612.48,18418.0000
612.75,18796.5000
613.03,18722.5000
613.30,18762.5000
613.57,18702.5000
613.85,18754.5000
614.12,18836.0000
614.40,18599.0000
614.67,18581.0000
614.95,18699.0000
615.22,18624.0000
615.50,18476.0000
615.77,18667.5000
616.05,18610.0000
616.32,18581.5000
616.59,18515.5000
616.87,18484.0000
617.14,18427.5000
617.42,18562.5000
617.69,18460.5000
617.97,18325.5000
618.24,18334.0000
618.51,18200.5000
618.79,18293.0000
619.06,18302.0000
619.34,18373.5000
619.61,18165.0000
619.88,18489.0000
620.16,18228.5000
620.43,18333.5000
620.71,18156.5000
620.98,18052.0000
621.26,18090.0000
621.53,18138.0000
621.80,18142.5000
622.08,18045.0000
622.35,17915.5000
622.62,17924.0000
622.90,17917.0000
623.17,17801.0000
623.45,17868.0000
623.72,17882.5000
623.99,17786.0000
624.27,17604.5000
624.54,17822.0000
624.81,17856.5000
625.09,17567.0000
625.36,17517.0000
625.64,17697.0000
625.91,17600.0000
626.18,17407.0000
626.46,17377.5000
626.73,17714.5000
627.00,17609.5000
627.28,17225.5000
627.55,17356.5000
627.82,17251.5000
628.10,17230.0000
628.37,16989.5000
628.64,17030.5000
628.92,17067.0000
629.19,16955.5000
629.46,17127.0000
629.74,17025.5000
630.01,17198.0000
630.28,17181.5000
630.56,17246.5000
630.83,16954.5000
631.10,17217.5000
631.37,17106.0000
631.65,16827.5000
631.92,16788.0000
632.19,16689.0000
632.47,16788.5000
632.74,16487.5000
633.01,16648.5000
633.28,16366.0000
633.56,16402.0000
633.83,16170.0000
634.10,16239.5000
634.38,16399.0000
634.65,16321.0000
634.92,16432.0000
635.19,16568.0000
635.47,16239.5000
635.74,16166.5000
636.01,15949.5000
636.28,15900.5000
636.56,15832.0000
636.83,15718.5000
637.10,15882.0000
637.37,15827.5000
637.65,15526.0000
637.92,15465.5000
638.19,15266.0000
638.46,15635.0000
638.74,15377.5000
639.01,15454.5000
639.28,15068.5000
639.55,15361.5000
639.83,15042.5000
640.10,15003.5000
640.37,15162.0000
640.64,14816.0000
640.91,14936.5000
641.19,14804.0000
641.46,14870.5000
641.73,14985.5000
642.00,14675.5000
642.28,14756.0000
642.55,14685.5000
642.82,14540.0000
643.09,14602.5000
643.36,14412.5000
643.63,14391.5000
643.91,14283.5000
644.18,14298.5000
644.45,14184.0000
644.72,14306.0000
644.99,14067.5000
645.27,13845.5000
645.54,14031.0000
645.81,14330.0000
646.08,14045.0000
646.35,13700.5000
646.62,13753.5000
646.90,13775.0000
647.17,13901.0000
647.44,13707.5000
647.71,13641.0000
647.98,13384.5000
648.25,13511.5000
648.52,13227.0000
648.80,13320.5000
649.07,13063.5000
649.34,13197.0000
649.61,13084.5000
649.88,13293.0000
650.15,13125.0000
650.42,12953.5000
650.69,12921.5000
650.97,12930.0000
651.24,12859.5000
651.51,12842.0000
651.78,12831.5000
652.05,12504.5000
652.32,12576.5000
652.59,12841.5000
652.86,12455.0000
653.13,12296.5000
