Wavelength (nm),Intensity
394.27,2091.5000
394.56,2031.0000
394.85,2088.5000
395.14,2034.5000
395.44,2066.0000
395.73,2071.5000
396.02,1921.0000
396.31,2028.0000
396.61,2106.0000
396.90,1946.5000
397.19,2139.5000
397.48,2166.0000
397.77,1999.5000
398.06,2141.0000
398.36,2140.0000
398.65,2061.5000
398.94,2030.5000
399.23,1955.5000
399.52,2060.5000
399.82,2103.5000
400.11,2060.5000
400.40,2168.0000
400.69,2024.5000
400.98,2050.0000
401.27,2198.5000
401.57,1914.0000
401.86,2102.0000
402.15,2019.0000
402.44,2042.5000
402.73,2043.0000
403.02,2193.5000
403.32,2018.5000
403.61,2084.5000
403.90,2051.0000
404.19,2138.0000
404.48,2208.5000
404.77,2165.0000
405.06,2172.0000
405.36,2227.5000
405.65,2144.5000
405.94,1914.0000
406.23,2174.0000
406.52,2228.0000
406.81,2264.5000
407.10,2127.0000
407.40,2131.5000
407.69,2118.5000
407.98,2165.5000
408.27,2055.0000
408.56,1975.5000
408.85,2353.5000
409.14,2004.0000
409.43,2154.5000
409.72,2026.0000
410.02,2404.5000
410.31,2100.5000
410.60,2119.5000
410.89,2240.0000
411.18,2121.0000
411.47,2047.0000
411.76,2136.0000
412.05,2126.5000
412.34,2153.0000
412.63,2098.5000
412.93,2497.5000
413.22,2289.5000
413.51,2074.0000
413.80,2218.5000
414.09,2057.0000
414.38,2064.5000
414.67,2203.5000
414.96,2034.0000
415.25,2448.0000
415.54,2252.0000
415.83,2004.0000
416.12,2013.5000
416.41,1971.5000
416.70,2251.0000
417.00,2257.5000
417.29,2172.5000
417.58,2219.5000
417.87,2174.5000
418.16,2327.0000
418.45,2139.5000
418.74,2105.0000
419.03,2117.5000
419.32,2402.0000
419.61,2260.5000
419.90,2354.5000
420.19,2304.0000
420.48,2201.5000
420.77,2066.5000
421.06,2130.0000
421.35,2272.0000
421.64,2214.5000
421.93,2090.5000
422.22,2197.0000
422.51,2411.5000
422.80,2246.5000
423.09,2132.0000
423.38,2444.0000
423.67,2257.0000
423.96,2177.5000
424.25,2170.0000
424.54,2187.5000
424.83,2017.0000
425.12,2184.5000
425.41,2250.5000
425.70,2788.5000
425.99,2336.5000
426.28,2319.0000
426.57,2311.0000
426.86,2281.0000
427.15,2360.0000
427.44,2513.0000
427.73,2444.5000
428.02,2281.0000
428.31,2403.5000
428.60,2502.0000
428.89,2405.0000
429.18,2394.0000
429.47,2438.0000
429.76,2303.5000
430.05,2301.5000
430.34,2524.5000
430.63,2377.0000
430.92,2598.5000
431.21,2539.5000
431.50,2335.5000
431.79,2388.0000
432.08,2428.5000
432.37,2421.0000
432.66,2513.5000
432.94,2454.5000
433.23,2565.5000
433.52,2658.0000
433.81,2633.0000
434.10,3017.5000
434.39,2604.0000
434.68,2809.5000
434.97,2537.5000
435.26,2641.0000
435.55,2743.5000
435.84,2739.0000
436.13,2742.5000
436.42,2895.5000
436.71,2739.5000
436.99,2746.5000
437.28,2822.0000
437.57,2926.0000
437.86,2848.5000
438.15,2967.5000
438.44,2836.0000
438.73,2997.5000
439.02,3122.5000
439.31,3201.0000
439.60,3019.5000
439.88,3148.5000
440.17,3160.5000
440.46,3288.0000
440.75,3111.0000
441.04,3113.5000
441.33,3498.0000
441.62,3468.0000
441.91,3386.0000
442.20,3461.5000
442.48,3609.5000
442.77,3545.0000
443.06,3681.5000
443.35,3617.0000
443.64,3800.5000
443.93,3754.5000
444.22,3940.0000
444.50,4110.5000
444.79,4145.0000
445.08,4259.0000
445.37,4302.0000
445.66,4228.0000
445.95,4246.0000
446.24,4317.0000
446.52,4540.5000
446.81,4875.5000
447.10,4583.5000
447.39,4869.0000
447.68,4761.0000
447.97,4682.0000
448.25,5145.5000
448.54,5133.5000
448.83,5246.5000
449.12,5482.0000
449.41,5200.0000
449.69,5341.5000
449.98,5254.5000
450.27,5374.0000
450.56,5314.0000
450.85,5432.0000
451.14,5212.5000
451.42,5344.0000
