Wavelength (nm),Intensity
394.27,902.8000
394.56,896.8000
394.85,891.6000
395.14,902.2000
395.44,882.6000
395.73,892.4000
396.02,877.8000
396.31,893.4000
396.61,883.4000
396.90,883.0000
397.19,885.6000
397.48,886.6000
397.77,873.8000
398.06,880.4000
398.36,880.4000
398.65,879.0000
398.94,885.0000
399.23,874.2000
399.52,881.6000
399.82,884.4000
400.11,879.2000
400.40,885.8000
400.69,880.8000
400.98,881.6000
401.27,885.6000
401.57,878.8000
401.86,880.8000
402.15,876.6000
402.44,885.0000
402.73,880.6000
403.02,893.6000
403.32,889.0000
403.61,884.0000
403.90,886.2000
404.19,886.2000
404.48,895.4000
404.77,888.8000
405.06,889.8000
405.36,897.6000
405.65,886.4000
405.94,884.4000
406.23,893.6000
406.52,893.6000
406.81,896.4000
407.10,887.0000
407.40,884.2000
407.69,890.8000
407.98,895.0000
408.27,889.8000
408.56,886.8000
408.85,905.2000
409.14,880.4000
409.43,894.0000
409.72,891.8000
410.02,898.8000
410.31,892.8000
410.60,901.0000
410.89,895.6000
411.18,884.8000
411.47,883.4000
411.76,881.2000
412.05,902.2000
412.34,880.4000
412.63,886.2000
412.93,895.4000
413.22,897.0000
413.51,892.8000
413.80,890.8000
414.09,880.2000
414.38,887.4000
414.67,889.4000
414.96,884.2000
415.25,899.2000
415.54,884.8000
415.83,885.8000
416.12,886.0000
416.41,882.2000
416.70,891.4000
417.00,900.6000
417.29,895.4000
417.58,903.0000
417.87,884.2000
418.16,896.6000
418.45,898.0000
418.74,886.8000
419.03,896.4000
419.32,900.6000
419.61,899.6000
419.90,901.6000
420.19,895.2000
420.48,891.0000
420.77,888.8000
421.06,904.4000
421.35,891.8000
421.64,904.8000
421.93,886.4000
422.22,903.8000
422.51,909.0000
422.80,902.4000
423.09,895.4000
423.38,912.8000
423.67,897.0000
423.96,894.6000
424.25,899.0000
424.54,899.8000
424.83,895.2000
425.12,895.6000
425.41,908.4000
425.70,926.0000
425.99,901.0000
426.28,899.4000
426.57,901.6000
426.86,904.0000
427.15,900.2000
427.44,916.6000
427.73,906.6000
428.02,903.0000
428.31,912.2000
428.60,914.2000
428.89,910.8000
429.18,908.6000
429.47,913.0000
429.76,908.8000
430.05,906.8000
430.34,915.4000
430.63,923.6000
430.92,914.2000
431.21,912.8000
431.50,916.0000
431.79,910.4000
432.08,918.6000
432.37,916.4000
432.66,916.4000
432.94,921.8000
433.23,933.6000
433.52,928.2000
433.81,936.8000
434.10,949.6000
434.39,937.0000
434.68,954.2000
434.97,937.4000
435.26,940.0000
435.55,949.0000
435.84,950.6000
436.13,948.6000
436.42,950.8000
436.71,945.8000
436.99,955.4000
437.28,951.2000
437.57,964.8000
437.86,963.4000
438.15,969.2000
438.44,968.8000
438.73,989.4000
439.02,981.4000
439.31,997.8000
439.60,991.4000
439.88,991.6000
440.17,997.2000
440.46,1004.6000
440.75,1009.8000
441.04,1005.2000
441.33,1020.0000
441.62,1017.2000
441.91,1021.8000
442.20,1047.4000
442.48,1049.2000
442.77,1044.4000
443.06,1057.0000
443.35,1061.0000
443.64,1082.2000
443.93,1082.8000
444.22,1096.6000
444.50,1112.2000
444.79,1117.4000
445.08,1122.6000
445.37,1138.4000
445.66,1142.4000
445.95,1149.8000
446.24,1168.4000
446.52,1181.6000
446.81,1199.4000
447.10,1199.2000
447.39,1211.4000
447.68,1222.8000
447.97,1232.0000
448.25,1260.8000
448.54,1253.6000
448.83,1277.4000
449.12,1299.2000
449.41,1282.2000
449.69,1309.2000
449.98,1316.4000
450.27,1310.8000
450.56,1318.6000
450.85,1328.2000
451.14,1321.2000
451.42,1331.4000
451.71,1344.8000
452.00,1342.0000
452.29,1335.4000
452.58,1336.6000
452.86,1324.2000
453.15,1325.4000
453.44,1336.2000
453.73,1323.6000
454.01,1328.8000
454.30,1339.8000
454.59,1291.6000
454.88,1304.2000
455.17,1276.8000
455.45,1287.8000
455.74,1294.0000
456.03,1292.0000
456.32,1249.8000
456.60,1245.6000
456.89,1246.8000
457.18,1230.4000
457.47,1221.4000
457.76,1231.0000
458.04,1216.8000
458.33,1211.0000
458.62,1190.2000
458.91,1198.4000
459.19,1166.4000
459.48,1170.2000
459.77,1171.0000
460.06,1170.0000
460.34,1168.0000
460.63,1167.0000
460.92,1164.2000
461.20,1134.8000
461.49,1148.0000
461.78,1137.6000
462.07,1151.2000
462.35,1153.4000
462.64,1142.6000
462.93,1149.0000
463.22,1156.2000
463.50,1143.2000
463.79,1146.0000
464.08,1152.4000
464.36,1135.4000
464.65,1139.4000
464.94,1132.2000
465.22,1133.0000
465.51,1140.8000
465.80,1136.2000
466.09,1123.2000
466.37,1135.0000
466.66,1126.0000
466.95,1130.2000
467.23,1112.4000
467.52,1109.0000
467.81,1124.0000
468.09,1109.2000
468.38,1104.6000
468.67,1123.6000
468.95,1104.4000
469.24,1102.4000
469.53,1103.0000
469.81,1102.8000
470.10,1094.4000
470.39,1099.6000
470.67,1086.8000
470.96,1083.6000
471.25,1070.8000
471.53,1086.6000
471.82,1074.0000
472.11,1073.4000
472.39,1061.6000
472.68,1057.2000
472.97,1050.4000
473.25,1070.4000
473.54,1055.6000
473.82,1060.8000
474.11,1054.4000
474.40,1053.4000
474.68,1065.8000
474.97,1060.2000
475.26,1039.4000
475.54,1035.2000
475.83,1038.0000
476.11,1050.2000
476.40,1036.6000
476.69,1044.8000
476.97,1049.4000
477.26,1039.8000
477.55,1046.2000
477.83,1028.8000
478.12,1032.2000
478.40,1040.8000
478.69,1040.8000
478.98,1035.8000
479.26,1036.4000
479.55,1053.0000
479.83,1028.6000
480.12,1039.0000
480.40,1032.2000
480.69,1039.2000
480.98,1052.0000
481.26,1042.8000
481.55,1031.8000
481.83,1039.6000
482.12,1041.6000
482.41,1045.0000
482.69,1048.4000
482.98,1043.0000
483.26,1063.8000
483.55,1046.6000
483.83,1052.4000
484.12,1047.2000
484.40,1054.6000
484.69,1041.2000
484.98,1045.8000
485.26,1050.6000
485.55,1053.4000
485.83,1042.8000
486.12,1059.4000
486.40,1042.0000
486.69,1055.8000
486.97,1058.0000
487.26,1051.2000
487.54,1058.4000
487.83,1062.0000
488.11,1055.8000
488.40,1074.6000
488.68,1078.2000
488.97,1076.6000
489.26,1067.2000
489.54,1075.8000
489.83,1075.6000
490.11,1075.2000
490.40,1082.4000
490.68,1083.0000
490.97,1077.0000
491.25,1079.2000
491.54,1081.8000
491.82,1086.8000
492.11,1081.6000
492.39,1095.8000
492.68,1087.2000
492.96,1108.4000
493.24,1094.4000
493.53,1093.8000
493.81,1111.2000
494.10,1104.6000
494.38,1104.8000
494.67,1118.0000
494.95,1124.4000
495.24,1122.2000
495.52,1128.4000
495.81,1131.0000
496.09,1127.2000
496.38,1117.8000
496.66,1134.8000
496.95,1139.2000
497.23,1135.2000
497.51,1136.2000
497.80,1146.2000
498.08,1154.0000
498.37,1142.6000
498.65,1153.8000
498.94,1175.0000
499.22,1164.2000
499.51,1163.2000
499.79,1158.8000
500.07,1169.8000
500.36,1173.6000
500.64,1173.6000
500.93,1182.6000
501.21,1182.8000
501.50,1186.0000
501.78,1187.8000
502.06,1181.2000
502.35,1188.4000
502.63,1196.4000
502.92,1200.4000
503.20,1201.0000
503.48,1214.4000
503.77,1224.4000
504.05,1217.6000
504.34,1210.2000
504.62,1221.8000
504.90,1229.8000
505.19,1227.2000
505.47,1230.6000
505.76,1225.2000
506.04,1235.6000
506.32,1250.6000
506.61,1233.0000
506.89,1252.2000
507.17,1253.4000
507.46,1251.4000
507.74,1257.8000
508.03,1254.6000
508.31,1265.0000
508.59,1258.6000
508.88,1272.4000
509.16,1274.2000
509.44,1279.2000
509.73,1292.2000
510.01,1279.8000
510.29,1289.2000
510.58,1264.4000
510.86,1290.8000
511.14,1294.0000
511.43,1281.6000
511.71,1295.8000
511.99,1294.8000
512.28,1301.0000
512.56,1293.8000
512.84,1304.0000
513.13,1302.4000
513.41,1312.6000
513.69,1318.2000
513.98,1308.2000
514.26,1329.8000
514.54,1323.8000
514.83,1323.8000
515.11,1323.2000
515.39,1334.2000
515.68,1330.8000
515.96,1326.4000
516.24,1340.2000
516.53,1330.2000
516.81,1353.6000
517.09,1326.8000
517.37,1331.4000
517.66,1337.0000
517.94,1340.0000
518.22,1350.6000
518.51,1347.6000
518.79,1337.8000
519.07,1334.6000
519.35,1353.6000
519.64,1351.4000
519.92,1360.8000
520.20,1348.0000
520.48,1363.0000
520.77,1358.2000
521.05,1366.2000
521.33,1368.8000
521.62,1360.2000
521.90,1377.6000
522.18,1379.8000
522.46,1367.4000
522.75,1388.8000
523.03,1372.2000
523.31,1376.8000
523.59,1393.4000
523.88,1383.2000
524.16,1382.2000
524.44,1402.6000
524.72,1402.0000
525.00,1404.0000
525.29,1395.0000
